"Image","x86_64","AARCH64","POWER8","POWER9","POWER10"
"AlmaLinux 8","x","x","x","x","x"
"AlmaLinux 9","x","x",,"x","x"
"AlmaLinux 10","x","x",,"x","x"
"CentOS Stream 9","x","x",,"x","x"
"CentOS Stream 10","x","x","x","x","x"
"Debian 12","x","x","x","x","x"
"Debian 13","x","x","x","x","x"
"Fedora (latest)","x","x","x","x","x"
"Rocky Linux 8","x","x",,"x","x"
"Rocky Linux 9","x","x",,"x","x"
"Rocky Linux 10","x","x","x","x","x"
"Ubuntu 20.04","x","x","x","x","x"
"Ubuntu 22.04","x","x",,"x","x"
"Ubuntu 24.04","x","x",,"x","x"
"Windows 11","x",,,,
"Windows 2022 Server","x",,,,
